Task,Accuracy,Centered,Random baseline,Examples,Skipped,Elapsed sec
hellaswag_zeroshot,0.290878,0.054504,25.000000,10042,0,423.726460
jeopardy,0.000472,0.000472,0.000000,2117,0,45.372329
bigbench_qa_wikidata,0.208159,0.208159,0.000000,20321,0,335.642163
arc_easy,0.361111,0.148148,25.000000,2376,0,115.575559
arc_challenge,0.217577,-0.043231,25.000000,1172,0,52.490123
copa,0.590000,0.180000,50.000000,100,0,7.641137
commonsense_qa,0.268632,0.085790,20.000000,1221,0,52.218703
piqa,0.612323,0.224646,50.000000,1834,4,66.915638
openbook_qa,0.272000,0.029333,25.000000,500,0,21.393005
lambada_openai,0.264506,0.264506,0.000000,5153,0,85.908882
hellaswag,0.289584,0.052778,25.000000,10042,0,480.860081
winograd,0.556777,0.113553,50.000000,273,0,7.483892
winogrande,0.520916,0.041831,50.000000,1267,0,31.875919
bigbench_dyck_languages,0.012000,0.012000,0.000000,1000,0,29.200956
agi_eval_lsat_ar,0.291304,0.114130,20.000000,230,0,9.793177
bigbench_cs_algorithms,0.381818,0.381818,0.000000,1320,0,28.186625
bigbench_operators,0.042857,0.042857,0.000000,210,0,4.179260
bigbench_repeat_copy_logic,0.000000,0.000000,0.000000,32,0,0.744195
squad,0.005676,0.005676,0.000000,10570,0,243.850337
coqa,0.042465,0.042465,0.000000,7983,0,159.713694
boolq,0.479817,-0.368904,62.000000,3270,0,141.566959
bigbench_language_identification,0.253000,0.178218,9.100000,10000,0,494.061550
CORE,,0.080398,,,,2838.402542
