Task,Accuracy,Centered,Random baseline,Examples,Skipped,Elapsed sec
hellaswag_zeroshot,0.291077,0.054770,25.000000,10042,0,427.419999
jeopardy,0.000945,0.000945,0.000000,2117,0,50.498197
bigbench_qa_wikidata,0.195906,0.195906,0.000000,20321,0,352.309289
arc_easy,0.356481,0.141975,25.000000,2376,0,118.377670
arc_challenge,0.208191,-0.055745,25.000000,1172,0,52.404336
copa,0.540000,0.080000,50.000000,100,0,10.673945
commonsense_qa,0.232596,0.040745,20.000000,1221,0,52.412359
piqa,0.618866,0.237732,50.000000,1834,4,70.401399
openbook_qa,0.248000,-0.002667,25.000000,500,0,21.732375
lambada_openai,0.270134,0.270134,0.000000,5153,0,90.127343
hellaswag,0.289982,0.053309,25.000000,10042,0,488.502928
winograd,0.586081,0.172161,50.000000,273,0,8.078973
winogrande,0.509866,0.019732,50.000000,1267,0,32.495779
bigbench_dyck_languages,0.004000,0.004000,0.000000,1000,0,30.915666
agi_eval_lsat_ar,0.230435,0.038043,20.000000,230,0,10.034673
bigbench_cs_algorithms,0.366667,0.366667,0.000000,1320,0,30.218736
bigbench_operators,0.100000,0.100000,0.000000,210,0,4.523690
bigbench_repeat_copy_logic,0.000000,0.000000,0.000000,32,0,0.446488
squad,0.003500,0.003500,0.000000,10570,0,260.965967
coqa,0.043718,0.043718,0.000000,7983,0,169.192482
boolq,0.619266,-0.001931,62.000000,3270,0,146.931658
bigbench_language_identification,0.258800,0.184598,9.100000,10000,0,514.114096
CORE,,0.088527,,,,2942.780857
